	chao1	observed_species	shannon	goods_coverage
Aus.K9.1	4450.569620253164	1433.0	6.411050878446137	0.9211460855528653
Aus.K9.6	2712.8424657534247	1080.0	6.220537331319569	0.9442292171105731
Aus.K9.7	3184.214285714286	1068.0	5.694091035376662	0.9443906376109766
Aus.K9.8	3813.285714285714	1409.0	7.111311551664047	0.924455205811138
Aus.K9.9	3148.0054945054944	1312.0	6.763687548921846	0.9339790153349475
Aus.K9.11	3154.9101796407185	1265.0	6.481570067453828	0.9358353510895884
Aus.K9.12	3471.0173410404623	1321.0	6.842220818157707	0.9303470540758676
Aus.K9.14	3620.8141025641025	1286.0	6.015212654974253	0.9310734463276836
Aus.K9.15	3058.098039215686	1173.0	6.336897155238752	0.9386602098466506
Aus.K9.17	3655.5652173913045	1356.0	7.047601463779797	0.9305084745762712
Aus.K9.18	2940.5209580838323	1218.0	6.739417275755515	0.9387409200968523
Aus.K9.21	3472.4293785310733	1371.0	6.913098265403001	0.9303470540758676
Aus.K9.22	3379.8129496402876	1166.0	5.585643591464816	0.9366424535916061
Aus.K9.23	4119.099337748345	1368.0	6.932148622543712	0.9263922518159806
Aus.K9.24	3223.25	1292.0	6.973383500430856	0.9334140435835351
Aus.K9.25	4016.189655172414	1469.0	7.283261693312549	0.9239709443099273
Aus.K9.26	3311.978260869565	941.0	4.4772947773144764	0.9466505246166264
Aus.K9.27	3707.374149659864	1247.0	6.431602252488933	0.9313155770782889
Aus.K9.28	2687.5	1069.0	6.347520294812349	0.9464083938660209
Aus.K9.29	3256.5625	1234.0	6.498441156639453	0.9350282485875706
Aus.K9.30	3323.517857142857	1315.0	6.8951792749203324	0.9336561743341404
Aus.K9.31	3480.8333333333335	1316.0	6.825020188474802	0.932364810330912
Aus.K9.32	3180.0344827586205	1269.0	6.447661202200003	0.9341404358353511
Aus.K9.35	3536.3092783505153	1451.0	7.228184526806397	0.927360774818402
Aus.K9.36	4215.180124223602	1433.0	6.841310167000996	0.9235673930589184
Aus.K9.38	3406.159090909091	1134.0	5.461712091609228	0.9374495560936239
Aus.K9.39	3714.439393939394	1220.0	6.523706546704156	0.9344632768361582
Aus.K9.40	2526.31914893617	1035.0	6.255039408541513	0.9476190476190476
