#SampleID,Description,Subject,Age,Normal_Diet,Time_Point,Date_of_hunt,Sex,Breed,Sample_Type,Diet,Diet_type,Diet_Category,Diet_Sequence,Amino_Acid_Metabolism,Biosynthesis_of_Other_Secondary_Metabolites,Cancers,Carbohydrate_Metabolism,Cardiovascular_Diseases,Cell_Communication,Cell_Growth_and_Death,Cell_Motility,Cellular_Processes_and_Signaling,Circulatory_System,Digestive_System,Endocrine_System,Energy_Metabolism,Environmental_Adaptation,Enzyme_Families,Excretory_System,Folding_Sorting_and_Degradation,Genetic_Information_Processing,Glycan_Biosynthesis_and_Metabolism,Immune_System,Immune_System_Diseases,Infectious_Diseases,Lipid_Metabolism,Membrane_Transport,Metabolic_Diseases,Metabolism,Metabolism_of_Cofactors_and_Vitamins,Metabolism_of_Other_Amino_Acids,Metabolism_of_Terpenoids_and_Polyketides,Nervous_System,Neurodegenerative_Diseases,Nucleotide_Metabolism,Poorly_Characterized,Replication_and_Repair,Sensory_System,Signal_Transduction,Signaling_Molecules_and_Interaction,Transcription,Translation,Transport_and_Catabolism,Xenobiotics_Biodegradation_and_Metabolism
saAus.K9.1,A.4.25,mustard,1,Washout,Washout,2014,m,foxhound,individual,c,meat,High_Protein,acb,3649646.00,317755.00,33895.00,4038667.00,10.00,1.00,192400.00,535125.00,1607806.00,54.00,6128.00,86137.00,2211566.00,60405.00,858718.00,5942.00,908232.00,1058150.00,716970.00,30001.00,15628.00,141504.00,1051250.00,5217273.00,35686.00,1058602.00,1781573.00,577661.00,602091.00,39790.00,44655.00,1605843.00,1899839.00,3402273.00,0.00,544575.00,86048.00,1103798.00,2237507.00,64922.00,736984.00
saAus.K9.6,A.0.2,amber,9,Baseline,Baseline,2006,f,foxhound,individual,c,meat,High_Protein,acb,1175711.00,124858.00,11534.00,1350644.00,17.00,1.00,66908.00,150684.00,491066.00,44.00,5070.00,37543.00,731522.00,18030.00,251773.00,1787.00,310434.00,328262.00,343276.00,10794.00,7187.00,44108.00,326442.00,1323976.00,11656.00,293664.00,575779.00,183469.00,202778.00,11116.00,11381.00,519770.00,596546.00,1119603.00,0.00,177962.00,25741.00,297662.00,685370.00,37977.00,211711.00
saAus.K9.7,A.2.24,bandit,2,NA,End_Hypoallergenic,2013,m,foxhound,individual,a,z/d,Hypoallergenic,acb,1894500.00,156244.00,15615.00,2244872.00,3.00,0.00,110146.00,321810.00,720941.00,14.00,4451.00,36352.00,1080235.00,31022.00,408419.00,3028.00,458166.00,552496.00,363673.00,14761.00,11668.00,79316.00,552417.00,2854775.00,20565.00,454850.00,862445.00,289700.00,324843.00,18632.00,17040.00,881656.00,981521.00,1881218.00,0.00,280916.00,38884.00,608126.00,1226791.00,29986.00,360148.00
saAus.K9.8,A.2.19,rena,4,NA,End_Hypoallergenic,2011,f,foxhound,individual,a,z/d,Hypoallergenic,acb,2861826.00,261400.00,29238.00,3274633.00,0.00,0.00,154114.00,433464.00,1208172.00,995.00,5951.00,80901.00,1776381.00,46644.00,627565.00,3569.00,734661.00,776259.00,628874.00,25997.00,16399.00,108876.00,815434.00,3706051.00,26781.00,719157.00,1339214.00,423772.00,468749.00,29042.00,28596.00,1204795.00,1395693.00,2615086.00,0.00,463482.00,51607.00,823077.00,1667001.00,68383.00,531699.00
saAus.K9.9,B.6.10,admiral,6,NA,End_Hypoallergenic,2009,m,foxhound,individual,a,z/d,Hypoallergenic,bca,4964791.00,424950.00,47517.00,5762188.00,70.00,0.00,276258.00,772638.00,2073158.00,216.00,6946.00,130770.00,2946587.00,86545.00,1082705.00,4608.00,1192375.00,1360206.00,877046.00,46160.00,30522.00,175013.00,1426451.00,6794669.00,48283.00,1217694.00,2330503.00,677448.00,793296.00,49185.00,36685.00,2024146.00,2360046.00,4539950.00,0.00,700174.00,78805.00,1546071.00,2829243.00,84532.00,893858.00
saAus.K9.11,B.4.7,gaffa,5,Washout,Washout,2010,m,foxhound,individual,c,meat,High_Protein,bca,3583950.00,298099.00,32504.00,3867726.00,14.00,0.00,182000.00,556612.00,1556567.00,48.00,4623.00,75985.00,2123420.00,59583.00,822528.00,4333.00,881250.00,1006264.00,593560.00,30007.00,12587.00,141992.00,1011773.00,5103647.00,34506.00,1005698.00,1708293.00,566184.00,569689.00,39182.00,48810.00,1519423.00,1829374.00,3230028.00,0.00,515122.00,80672.00,1124935.00,2143528.00,54885.00,690025.00
saAus.K9.12,A.0.18,banjo,4,Baseline,Baseline,2011,m,foxhound,individual,c,meat,High_Protein,acb,1864266.00,171628.00,17734.00,2185112.00,0.00,0.00,101184.00,303503.00,781452.00,9.00,3145.00,52303.00,1167824.00,32042.00,413647.00,2342.00,460102.00,512870.00,369913.00,17754.00,9879.00,67435.00,530000.00,2687367.00,18428.00,494954.00,865104.00,268730.00,309610.00,19368.00,16371.00,799861.00,926529.00,1725251.00,0.00,301715.00,34970.00,571382.00,1086745.00,38810.00,348274.00
saAus.K9.14,A.4.6,acorn,7,Washout,Washout,2008,f,foxhound,individual,c,meat,High_Protein,acb,2781638.00,247633.00,23935.00,3128291.00,7.00,0.00,144324.00,433748.00,1241918.00,55.00,5180.00,68357.00,1696200.00,44686.00,653821.00,5386.00,691904.00,807144.00,577986.00,21488.00,11759.00,107983.00,806010.00,4050045.00,26788.00,819500.00,1353460.00,441590.00,464955.00,30544.00,33696.00,1223924.00,1462203.00,2587678.00,0.00,446846.00,64793.00,835500.00,1694474.00,53560.00,591081.00
saAus.K9.15,B.4.13,halifax,3,Washout,Washout,2012,m,foxhound,individual,c,meat,High_Protein,bca,3753724.00,322380.00,36343.00,4407566.00,16.00,0.00,198103.00,634818.00,1629822.00,610.00,6904.00,95887.00,2332191.00,71872.00,843309.00,3925.00,936371.00,1035650.00,684341.00,35404.00,19934.00,139966.00,1094686.00,5524801.00,37548.00,993544.00,1734008.00,553290.00,618513.00,37559.00,39495.00,1595416.00,1888057.00,3500623.00,0.00,594567.00,66867.00,1238958.00,2208298.00,73960.00,677799.00
saAus.K9.17,B.6.3,promise,7,NA,End_Hypoallergenic,2008,f,foxhound,individual,a,z/d,Hypoallergenic,bca,2578742.00,218631.00,24861.00,2846382.00,0.00,0.00,137967.00,475106.00,1083002.00,6.00,4212.00,65727.00,1559478.00,46433.00,563039.00,4042.00,614535.00,708472.00,469443.00,22744.00,12322.00,89705.00,717518.00,3597378.00,24139.00,646712.00,1208895.00,356276.00,412839.00,26420.00,20266.00,1063093.00,1264591.00,2351382.00,0.00,394273.00,41391.00,801550.00,1519693.00,45246.00,449655.00
saAus.K9.18,A.6.14,charcoal,5,NA,End_High_Fibre,2010,m,foxhound,individual,b,w/d,High_Fibre,acb,2648118.00,240595.00,28260.00,2988241.00,0.00,0.00,148079.00,459188.00,1112630.00,10.00,4146.00,66450.00,1575438.00,45643.00,569762.00,1530.00,638024.00,745903.00,480098.00,24874.00,12224.00,89592.00,733967.00,3825553.00,28347.00,657107.00,1186278.00,390108.00,434432.00,26157.00,26585.00,1093396.00,1328827.00,2520657.00,0.00,375614.00,50909.00,815515.00,1588486.00,46923.00,476887.00
saAus.K9.21,A.2.20,favour,3,NA,End_Hypoallergenic,2012,f,foxhound,individual,a,z/d,Hypoallergenic,acb,3483139.00,367448.00,35858.00,3920502.00,2.00,0.00,200039.00,406622.00,1476846.00,22.00,17179.00,115230.00,2153406.00,50667.00,761128.00,3728.00,934026.00,946774.00,982013.00,33528.00,18904.00,133920.00,950180.00,3885227.00,35446.00,844380.00,1679448.00,537015.00,599777.00,34313.00,34013.00,1547431.00,1754661.00,3370877.00,0.00,475752.00,68726.00,929127.00,2086416.00,120281.00,588349.00
saAus.K9.22,A.4.17,kindle,4,Washout,Washout,2011,f,foxhound,individual,c,meat,High_Protein,acb,1647045.00,149534.00,13079.00,1927240.00,3.00,0.00,82356.00,364662.00,755981.00,42.00,3540.00,42020.00,995930.00,27047.00,385484.00,5024.00,405877.00,492811.00,373237.00,11425.00,7480.00,68266.00,499621.00,2511341.00,16298.00,509682.00,799829.00,261548.00,288390.00,17950.00,16837.00,732355.00,897284.00,1542376.00,0.00,310445.00,36771.00,508111.00,990582.00,35555.00,372850.00
saAus.K9.23,A.6.22,barman,2,NA,End_High_Fibre,2013,m,foxhound,individual,b,w/d,High_Fibre,acb,1613177.00,149339.00,16098.00,1788083.00,2.00,0.00,90590.00,224750.00,658129.00,16.00,5165.00,44967.00,967447.00,24706.00,370048.00,1123.00,397894.00,452759.00,314836.00,13301.00,8469.00,58675.00,445417.00,2271972.00,17368.00,400612.00,716391.00,248959.00,274098.00,17296.00,15720.00,711924.00,812558.00,1588904.00,0.00,223467.00,35956.00,489094.00,1014061.00,36119.00,303620.00
saAus.K9.24,B.2.21,hugh,1,NA,End_High_Fibre,2014,m,foxhound,individual,b,w/d,High_Fibre,bca,1736022.00,165344.00,16780.00,1988074.00,0.00,0.00,96029.00,289268.00,711442.00,9.00,3890.00,48898.00,1051592.00,29373.00,370251.00,1164.00,423364.00,475085.00,353400.00,16315.00,8457.00,61381.00,471480.00,2397116.00,17608.00,422160.00,811260.00,242191.00,282020.00,17582.00,14232.00,727206.00,850815.00,1620731.00,0.00,250595.00,28962.00,519598.00,1015686.00,36370.00,292578.00
saAus.K9.25,B.6.9,gerlert,5,NA,End_Hypoallergenic,2010,m,foxhound,individual,a,z/d,Hypoallergenic,bca,2061758.00,183395.00,20063.00,2335174.00,2.00,0.00,115038.00,318660.00,870899.00,16.00,4416.00,57876.00,1254643.00,34698.00,454390.00,2812.00,505274.00,569838.00,428727.00,18652.00,11871.00,72960.00,583409.00,2762268.00,19422.00,513511.00,977697.00,290685.00,336710.00,20386.00,16549.00,868968.00,1006490.00,1905856.00,0.00,308348.00,34689.00,612747.00,1204671.00,43083.00,372402.00
saAus.K9.26,A.4.24,bandit,2,Washout,Washout,2013,m,foxhound,individual,c,meat,High_Protein,acb,521890.00,51255.00,3174.00,661486.00,2.00,0.00,28085.00,78426.00,239955.00,11.00,1548.00,15475.00,329554.00,7982.00,122783.00,1863.00,131768.00,164235.00,147877.00,2905.00,2849.00,20338.00,165916.00,816816.00,5339.00,173366.00,271526.00,85853.00,99125.00,5646.00,4062.00,248093.00,296020.00,506428.00,0.00,94977.00,13529.00,143492.00,333426.00,13156.00,134690.00
saAus.K9.27,B.0.21,hugh,1,Baseline,Baseline,2014,m,foxhound,individual,c,meat,High_Protein,bca,4330019.00,445203.00,41738.00,4895020.00,5.00,0.00,238519.00,567998.00,1820078.00,28.00,13831.00,128904.00,2672185.00,67011.00,947033.00,5131.00,1102095.00,1171567.00,1113880.00,38801.00,24251.00,155855.00,1181783.00,5293414.00,40959.00,1066435.00,2072706.00,640255.00,716295.00,43518.00,39185.00,1872593.00,2156082.00,4079422.00,0.00,656842.00,83013.00,1198510.00,2518274.00,128288.00,757571.00
saAus.K9.28,A.4.9,beauty,7,Washout,Washout,2008,f,foxhound,individual,c,meat,High_Protein,acb,1795027.00,169113.00,17839.00,2066869.00,3.00,0.00,86061.00,501814.00,826501.00,103.00,5783.00,49025.00,1076377.00,31822.00,408125.00,5108.00,444749.00,517484.00,422404.00,14792.00,9044.00,75815.00,558031.00,2532732.00,18358.00,533753.00,827963.00,292607.00,307991.00,18413.00,20299.00,766207.00,980030.00,1626142.00,0.00,379759.00,38923.00,544800.00,1010180.00,45267.00,384896.00
saAus.K9.29,B.4.8,nigel,5,Washout,Washout,2010,m,foxhound,individual,c,meat,High_Protein,bca,3136100.00,279823.00,28423.00,3644557.00,2.00,0.00,161026.00,518032.00,1370660.00,33.00,3727.00,78168.00,1917061.00,52246.00,701301.00,4617.00,762749.00,859964.00,584109.00,26982.00,15661.00,121054.00,901452.00,4578491.00,30309.00,844857.00,1462376.00,451872.00,504838.00,33540.00,29915.00,1314214.00,1572274.00,2864786.00,0.00,515970.00,54844.00,1006244.00,1784692.00,60842.00,588458.00
saAus.K9.30,B.2.7,gaffa,5,NA,End_High_Fibre,2010,m,foxhound,individual,b,w/d,High_Fibre,bca,2270812.00,228771.00,22697.00,2556196.00,1.00,0.00,131482.00,309507.00,951796.00,13.00,9213.00,70735.00,1399396.00,34800.00,493493.00,1864.00,590510.00,626463.00,580030.00,21928.00,12049.00,84343.00,613678.00,2766421.00,23166.00,544451.00,1092871.00,336420.00,381930.00,22050.00,20395.00,991786.00,1130533.00,2180601.00,0.00,314108.00,41203.00,631075.00,1353101.00,65581.00,381018.00
saAus.K9.31,B.0.7,gaffa,5,Baseline,Baseline,2010,m,foxhound,individual,c,meat,High_Protein,bca,3428537.00,344653.00,33934.00,3865386.00,3.00,0.00,190270.00,479412.00,1452052.00,21.00,11226.00,101968.00,2131484.00,53323.00,755844.00,3834.00,874323.00,930779.00,862123.00,31145.00,19577.00,123930.00,933665.00,4254817.00,32507.00,848291.00,1621252.00,500877.00,565077.00,34712.00,32589.00,1479655.00,1703645.00,3254405.00,0.00,527464.00,64061.00,965462.00,1998477.00,99579.00,601837.00
saAus.K9.32,B.0.23,bentley,1,Baseline,Baseline,2014,m,foxhound,individual,c,meat,High_Protein,bca,2572642.00,221057.00,24271.00,2847274.00,6.00,0.00,139082.00,398586.00,1125551.00,16.00,3961.00,62434.00,1542923.00,42686.00,599279.00,3826.00,634921.00,732742.00,472429.00,22677.00,12631.00,96647.00,747865.00,3517450.00,25080.00,711546.00,1241111.00,388800.00,415548.00,27261.00,27670.00,1104126.00,1284642.00,2385375.00,0.00,368810.00,54762.00,797932.00,1542668.00,46283.00,505925.00
saAus.K9.35,B.2.20,banker,2,NA,End_High_Fibre,2013,m,foxhound,individual,b,w/d,High_Fibre,bca,1315925.00,127636.00,12999.00,1514755.00,2.00,0.00,74073.00,161710.00,565037.00,33.00,3796.00,38311.00,815111.00,20272.00,291003.00,1291.00,339163.00,361353.00,312581.00,11810.00,7493.00,49238.00,372661.00,1700341.00,12944.00,325972.00,623972.00,194684.00,220238.00,12849.00,11917.00,573445.00,654105.00,1261203.00,0.00,192770.00,23352.00,383287.00,787270.00,34141.00,239745.00
saAus.K9.36,A.0.4,anqor,7,Baseline,Baseline,2008,m,foxhound,individual,c,meat,High_Protein,acb,3427148.00,319010.00,33419.00,3911982.00,30.00,0.00,185597.00,507279.00,1482506.00,216.00,7855.00,99491.00,2148937.00,58478.00,776707.00,5332.00,870957.00,952201.00,771484.00,31026.00,21005.00,123940.00,1004479.00,4549323.00,31696.00,912233.00,1622387.00,515888.00,576235.00,33830.00,34660.00,1478930.00,1728886.00,3206670.00,0.00,566642.00,69790.00,1013859.00,1992333.00,83404.00,655604.00
saAus.K9.38,B.4.16,bookmaker,2,Washout,Washout,2013,m,foxhound,individual,c,meat,High_Protein,bca,1923049.00,170695.00,16135.00,2304132.00,4.00,0.00,101242.00,318791.00,884307.00,45.00,3986.00,50776.00,1210611.00,32176.00,458864.00,4731.00,484917.00,582717.00,440231.00,13718.00,9861.00,75658.00,584646.00,2995183.00,19260.00,602741.00,950463.00,306484.00,341421.00,20691.00,20093.00,871462.00,1057647.00,1833927.00,0.00,341198.00,46337.00,572518.00,1202335.00,39744.00,443629.00
saAus.K9.39,A.6.9,beauty,7,NA,End_High_Fibre,2008,f,foxhound,individual,b,w/d,High_Fibre,acb,2802307.00,255542.00,27411.00,3278620.00,1.00,0.00,170120.00,330548.00,1112153.00,12.00,10721.00,80819.00,1738121.00,40884.00,692964.00,5002.00,741886.00,818082.00,605808.00,19094.00,19579.00,118362.00,820166.00,4080983.00,32361.00,723569.00,1260712.00,461799.00,511511.00,32682.00,26212.00,1402435.00,1475821.00,3019960.00,0.00,402587.00,73465.00,868512.00,1950095.00,69257.00,570485.00
saAus.K9.40,A.6.21,bedlam,2,NA,End_High_Fibre,2013,f,foxhound,individual,b,w/d,High_Fibre,acb,3822962.00,335161.00,40026.00,4175659.00,2.00,0.00,210789.00,487744.00,1560133.00,34.00,6931.00,112899.00,2252370.00,56742.00,869348.00,1945.00,927609.00,1075845.00,661788.00,29076.00,20778.00,130573.00,1063100.00,5642162.00,40802.00,953988.00,1608414.00,598124.00,627777.00,38031.00,45256.00,1637494.00,1898320.00,3721827.00,0.00,573398.00,92300.00,1122331.00,2393466.00,83313.00,782115.00
saAus.K9.42,A.4.1,blackprint,10,Washout,Washout,2005,m,foxhound,individual,c,meat,High_Protein,acb,1857466.00,171472.00,17832.00,2129644.00,2.00,0.00,104366.00,266391.00,827764.00,93.00,5814.00,51419.00,1154380.00,29823.00,430913.00,2947.00,489657.00,545167.00,457024.00,15586.00,9718.00,75853.00,545678.00,2575003.00,19128.00,526098.00,920625.00,298291.00,317803.00,19060.00,21781.00,840820.00,979910.00,1797419.00,0.00,288900.00,42009.00,543345.00,1147239.00,46089.00,363041.00
saAus.K9.43,B.4.17,spitster,2,Washout,Washout,2013,f,foxhound,individual,c,meat,High_Protein,bca,3463687.00,304943.00,34626.00,3802755.00,2.00,0.00,182706.00,479459.00,1471553.00,234.00,3821.00,83312.00,2121881.00,58078.00,782524.00,3377.00,856965.00,949446.00,625518.00,31408.00,15774.00,130532.00,956816.00,4793880.00,33276.00,925760.00,1622613.00,507208.00,553226.00,38370.00,37784.00,1476478.00,1713336.00,3215942.00,0.00,510181.00,69709.00,1076691.00,2048573.00,64426.00,610023.00
saAus.K9.46,A.0.15,beach boy,5,Baseline,Baseline,2010,m,foxhound,individual,c,meat,High_Protein,acb,1461825.00,155898.00,14341.00,1669380.00,1.00,0.00,80368.00,178208.00,630361.00,11.00,5608.00,44892.00,912790.00,21401.00,317431.00,1999.00,383620.00,395164.00,422764.00,12627.00,8843.00,53656.00,401882.00,1689017.00,13788.00,362337.00,703238.00,225515.00,244326.00,14243.00,14895.00,634678.00,737809.00,1380933.00,0.00,229427.00,30160.00,386322.00,842307.00,51021.00,264891.00
