OTUID	Kingdom	Phylum	Class	Order	Family	Genus
0000e956e837b74e796439615815576b	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera
00046f09cb50a9cf715b3746785b9925	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
0009ab33ee6d268d1f73c0e97b67b2dc	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera
000a0a8a4a287080808bf3568c6b1999	Bacteria	Other	Other	Other	Other	Other
000a42b66c7e6f6672709e4f522052f5	Bacteria	AD3	JG37-AG-4	NA	NA	NA
000c24bce1b8d045ef309cfa7fe28982	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	NA	NA
001103c6d87c26d09e3bd677b6e5b3d7	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	EB1017	NA
0012ac67281898d09cdfb0362e395288	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Microthrixaceae	NA
0015fc1121b572884015004ef5a833cc	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Other	Other
001641c58cc97e815dc5d75a89921df8	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	NA	NA
001b66c16fca533aabfc1183bdb1c92a	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	NA
001c90c54105c2c04cd576b49269798b	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
00244bcb5e33076948aece1ba1364281	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella
002be61d1b5cb067bf155d79de396c82	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium
002e505846a8f04cc316fc5ec9c11350	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Other
003853d99527525eac1f9d6198869d50	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Actinotalea
003a46f7e6b779ab14b7c77b28dc4947	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas
003afe2b99ffaa7ee4f802131a347e57	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
004433dbd12316edd776e153b24a6c99	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermabacteraceae	NA
004ceea2bac92e0c3a4116b2528e5595	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermabacteraceae	Brachybacterium
004e29bd18370f365758ab28c297f5c4	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermacoccaceae	Dermacoccus
0051f488ef13d5565e91092cd9268066	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermatophilaceae	Other
0059952933793d3aad4a643205b79b62	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dietziaceae	Dietzia
0060134da330f98d306a73da89deef0e	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Other
0070c2ba846bdaf121eaceb077baf085	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	NA
0072207c7fe3a1b00a608c7291b32406	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Geodermatophilus
00727695cb4d66d350b46487d5dea198	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Modestobacter
007d8220d2933f158f8c2b32661ae40f	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Gordoniaceae	Gordonia
007e0f021c56a39740aac8051f6135fd	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Other
0080d7e9c96dd994748fa476c835a941	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	NA
00820131a7fccdae68fd843e25fdf09e	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Janibacter
0082238638d7298ec33aa353fb108c60	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Phycicoccus
008898d5ca70638b31fbbc966eac0bb2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Terracoccus
008f740ab4fe2c52062d23e11a108a7c	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Kineosporiaceae	Other
0091a43625f7ae10d19e16ebc98ce69f	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Other
0092426a921d10c4ae4ffec984a4e119	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	NA
0097d26d21d04ad5973f14ee38db6076	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Agromyces
009ec322777f010d6aa8b1cab66d22cf	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Cryocola
00a3837c241b8a0106a1e8eecdf4f529	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Leucobacter
00aa44556b0585cf779780c6131c5639	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Pseudoclavibacter
00b008677ea6e118a74441ef77f3ebf7	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Rathayibacter
00bbc713974cab4e058fa8910416495e	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Salinibacterium
00c151ef615e33caf624798cf66b2819	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	NA
00c19c90e68a2c4bab8365df8d935b8c	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter
00c1afdd3ed9b0dba9fc2ca3262dc8bd	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria
00c3b7dc9505ac5ef18e57b3d85a118b	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Micrococcus
00cafc1e75416fd6b1a4580e5d0f7cc3	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia
00cb06d06fbe3bc6ace6bc9695742905	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	NA
00ccd4605a7ca46503f6c0b3741a2c62	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium
00d0e7c157c0deab2d547683ded502f7	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nakamurellaceae	NA
00d670e2f3e84b7353b6f70fc913ee06	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus
